datetime,open,high,low,close,volume,lot_size
2020-11-28 00:00:00+08:00,0.5625,0.57687,0.5476,0.55781,174351921.2,0.1
2020-11-28 04:00:00+08:00,0.5579,0.55963,0.5387,0.55175,85176234.2,0.1
2020-11-28 08:00:00+08:00,0.55184,0.56475,0.5415,0.56316,105138847.0,0.1
2020-11-28 12:00:00+08:00,0.56317,0.63,0.55622,0.62958,346158445.9,0.1
2020-11-28 16:00:00+08:00,0.62958,0.64888,0.60812,0.63724,403186191.7,0.1
2020-11-28 20:00:00+08:00,0.63729,0.63948,0.6105,0.62579,162229678.5,0.1
2020-11-29 00:00:00+08:00,0.62573,0.63081,0.58285,0.61578,186600264.1,0.1
2020-11-29 04:00:00+08:00,0.61569,0.63069,0.60109,0.62604,106372702.1,0.1
2020-11-29 08:00:00+08:00,0.62603,0.637,0.615,0.62144,167999895.2,0.1
2020-11-29 12:00:00+08:00,0.62139,0.62737,0.60501,0.61818,123344257.8,0.1
2020-11-29 16:00:00+08:00,0.61816,0.6185,0.584,0.59301,163331828.3,0.1
2020-11-29 20:00:00+08:00,0.59301,0.61974,0.59123,0.60543,109979717.3,0.1
2020-11-30 00:00:00+08:00,0.60543,0.64687,0.60502,0.62927,195809409.3,0.1
2020-11-30 04:00:00+08:00,0.62941,0.63595,0.62102,0.62517,72982681.4,0.1
2020-11-30 08:00:00+08:00,0.625,0.6275,0.59881,0.6237,149918874.2,0.1
2020-11-30 12:00:00+08:00,0.62385,0.6791,0.61277,0.63791,371316637.0,0.1
2020-11-30 16:00:00+08:00,0.63786,0.66508,0.63205,0.64026,208077160.4,0.1
2020-11-30 20:00:00+08:00,0.64015,0.67608,0.63426,0.66417,180815120.0,0.1
2020-12-01 00:00:00+08:00,0.66378,0.66938,0.64786,0.65175,140461909.2,0.1
2020-12-01 04:00:00+08:00,0.6516,0.66562,0.64359,0.66196,106004816.2,0.1
2020-12-01 08:00:00+08:00,0.662,0.681,0.63204,0.65621,225040848.0,0.1
2020-12-01 12:00:00+08:00,0.65597,0.65686,0.56401,0.63753,371684161.1,0.1
